direction,time,canid,len,data
RX,10:10:15.239,0x101,32,66 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A E8 7F FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.256,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
TX,10:10:15.260,0x300,6,40 40 40 08 04 01
TX,10:10:15.263,0x300,12,40 40 00 09 1C 01 00 01 10 42 10 20
RX,10:10:15.267,0x101,32,67 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
RX,10:10:15.271,0x101,32,68 40 40 38 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
RX,10:10:15.274,0x101,16,69 40 00 39 24 01 00 01 10 42 10 20 02 00 01 20
TX,10:10:15.284,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.288,0x101,32,6A 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.297,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.301,0x101,32,6B 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.316,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.320,0x101,32,6C 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 1B 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.335,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.339,0x101,32,6D 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A F9 7F FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.355,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.359,0x101,32,6E 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 27 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.375,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.384,0x101,32,6F 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 0A 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.395,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.401,0x101,32,70 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A F9 7F FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.417,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.422,0x101,32,71 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A F9 7F FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.435,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.440,0x101,32,72 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 1B 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.455,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.461,0x101,32,73 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.475,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.480,0x101,32,74 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 1B 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.495,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.500,0x101,32,75 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.515,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.520,0x101,32,76 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.536,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.543,0x101,32,77 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.555,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.560,0x101,32,78 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 3D 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.576,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.581,0x101,32,79 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 1B 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.595,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.601,0x101,32,7A 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A FF 7F FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.616,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.622,0x101,32,7B 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.636,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.641,0x101,32,7C 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 38 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.656,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.662,0x101,32,7D 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.676,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.681,0x101,32,7E 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.695,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.701,0x101,32,7F 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.715,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.721,0x101,32,40 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A E8 7F FF 7F 12 09 F1 F7 EF E5 55
